1486463312.57, 2.1 °C, 0.5 ppm, 61649. g
1486463314.23, 2.1 °C, 0.5 ppm, 61650. g
1486463315.75, 2.1 °C, 0.5 ppm, 61650. g
1486463317.26, 2.1 °C, 0.5 ppm, 61649. g
1486463318.80, 2.1 °C, 0.5 ppm, 61649. g
1486463320.31, 2.1 °C, 0.5 ppm, 61650. g
1486463321.82, 2.1 °C, 0.5 ppm, 61649. g
1486463323.33, 2.1 °C, 0.5 ppm, 61650. g
1486463324.85, 2.1 °C, 0.5 ppm, 61650. g
1486463326.38, 2.1 °C, 0.5 ppm, 61650. g
1486463327.90, 2.1 °C, 0.5 ppm, 61649. g
1486463329.40, 2.1 °C, 0.5 ppm, 61649. g
1486463330.92, 2.1 °C, 0.5 ppm, 61699. g
1486463332.45, 2.1 °C, 0.5 ppm, 61649. g
1486463333.97, 2.1 °C, 0.5 ppm, 61649. g
1486463335.48, 2.1 °C, 0.5 ppm, 61649. g
1486463336.99, 2.1 °C, 0.5 ppm, 61649. g
1486463338.53, 2.1 °C, 0.5 ppm, 61650. g
1486463340.04, 2.1 °C, 0.5 ppm, 61650. g
1486463341.55, 2.1 °C, 0.5 ppm, 61650. g
1486463343.07, 2.1 °C, 0.5 ppm, 61650. g
